,FECHA,DESDE,HASTA,LINEA,MOLINETE,ESTACION,pax_pagos,pax_pases_pagos,pax_franq,pax_TOTAL
45299,3/8/2022,09:15:00,09:30:00,LineaA,LineaA_PJunta_N_Turn03,Primera Junta,33,0,0,33
238780,12/8/2022,23:00:00,23:15:00,LineaC,LineaC_Constitucion_Turn13,Constitucion,1,0,1,2
471588,25/8/2022,15:15:00,15:30:00,LineaA,LineaA_SanPedrito_Este_Turn04,San Pedrito,54,0,4,58
158839,9/8/2022,07:30:00,07:45:00,LineaA,LineaA_Congreso_S_Turn03,Congreso,54,0,5,59
380652,20/8/2022,19:15:00,19:30:00,LineaA,LineaA_Acoyte_N_Turn04,Acoyte,13,0,0,13
294507,16/8/2022,12:15:00,12:30:00,LineaB,LineaB_Medrano_S_Turn01,Medrano,0,0,1,1
379835,20/8/2022,18:30:00,18:45:00,LineaC,LineaC_Retiro_Turn12,Retiro,97,0,1,98
401294,22/8/2022,07:15:00,07:30:00,LineaC,LineaC_Constitucion_Turn26,Constitucion,117,0,3,120
556,1/8/2022,05:45:00,06:00:00,LineaA,LineaA_Flores_Oeste_Turn04,Flores,7,0,0,7
34272,2/8/2022,17:00:00,17:15:00,LineaC,LineaC_AVMayo_N_Turn02,Avenida de Mayo,7,0,0,7
261824,14/8/2022,12:00:00,12:15:00,LineaB,LineaB_JMRosas_Oeste_Turn01,Rosas,9,0,0,9
33809,2/8/2022,16:45:00,17:00:00,LineaA,LineaA_Piedras_S_Turn01,Piedras,42,0,2,44
343243,18/8/2022,20:45:00,21:00:00,LineaA,LineaA_CBarros_N_Turn03,Castro Barros,6,0,2,8
161477,9/8/2022,09:30:00,09:45:00,LineaC,LineaC_Indepen_Turn01,Independencia,7,0,0,7
255285,13/8/2022,21:15:00,21:30:00,LineaB,LineaB_Alem_S_Turn04,Leandro N. Alem,17,0,3,20
475026,25/8/2022,18:00:00,18:15:00,LineaA,LineaA_Puan_E_Turn01,Puan,31,0,1,32
396561,21/8/2022,19:30:00,19:45:00,LineaB,LineaB_Lacroze_O_Turn08,Federico Lacroze,1,0,0,1
98224,5/8/2022,18:45:00,19:00:00,LineaB,LineaB_Lacroze_S_Turn01,Federico Lacroze,8,0,3,11
331098,18/8/2022,10:30:00,10:45:00,LineaA,LineaA_Congreso_N_Turn01,Congreso,6,0,1,7
137453,8/8/2022,06:30:00,06:45:00,LineaB,LineaB_Pueyr_S_Turn02,Pueyrredon,6,0,0,6
380819,20/8/2022,19:15:00,19:30:00,LineaA,LineaA_Carabobo_O_Turn02,Carabobo,12,0,0,12
93330,5/8/2022,14:45:00,15:00:00,LineaB,LineaB_JMRosas_Este_Turn01,Rosas,16,0,0,16
329731,18/8/2022,09:15:00,09:30:00,LineaA,LineaA_Carabobo_E_Turn02,Carabobo,45,0,0,45
136240,8/8/2022,05:15:00,05:30:00,LineaB,LineaB_Alem_N_Turn03,Leandro N. Alem,4,0,0,4
267691,14/8/2022,17:30:00,17:45:00,LineaB,LineaB_LosIncas_Turn07,Los Incas,0,0,3,3
486580,26/8/2022,10:30:00,10:45:00,LineaA,LineaA_Piedras_S_Turn01,Piedras,17,0,4,21
473112,25/8/2022,16:30:00,16:45:00,LineaC,LineaC_AVMayo_S_Turn02,Avenida de Mayo,13,0,1,14
409192,22/8/2022,14:00:00,14:15:00,LineaA,LineaA_Peru_S_Turn04,Peru,4,0,2,6
